gene_id	ERR337909	ERR337922	ERR337912	ERR337925	ERR337961	ERR337973	ERR337937	ERR337949
EgrG_000088800	188	141	91	69	102	116	91	85
EgrG_000088900	0	0	1	0	1	0	0	0
EgrG_000089200	1584	1246	1459	1299	1457	1336	1228	1250
EgrG_000089300	519	515	421	323	519	519	548	567
EgrG_000089400	203	200	131	148	160	138	179	231
EgrG_000089500	127	105	72	89	60	57	202	204
EgrG_000089600	61	58	72	65	65	41	200	169
EgrG_000089700	100	81	32	18	44	25	35	33
EgrG_000089800	1382	1190	932	848	612	550	770	764
EgrG_000089900	623	458	443	396	325	255	636	588
EgrG_000090000	56	48	23	23	41	29	56	66
EgrG_000090100	877	802	371	292	599	511	615	700
EgrG_000090300	387	341	485	370	697	608	612	634
EgrG_000090400	272	222	197	162	327	315	192	244
EgrG_000090500	2910	2423	1348	1228	2306	2181	1785	1829
EgrG_000090600	59	57	94	78	17	16	28	36
EgrG_000090700	242	154	123	108	182	134	231	234
EgrG_000090900	21	23	17	13	18	32	27	21
EgrG_000091000	608	502	301	288	458	391	480	489
EgrG_000091200	1961	1748	3410	2991	1925	1817	2448	2395
EgrG_000091300	2	2	3	3	0	0	0	0
EgrG_000091400	9	9	25	18	19	17	14	22
EgrG_000091500	1282	1128	674	574	978	872	902	971
EgrG_000091600	2601	2246	2544	2321	2463	2325	2810	2897
EgrG_000091700	4688	3971	2529	2025	3593	3291	3261	3396
EgrG_000091800	5654	4872	2820	2345	3246	3097	3837	3934
EgrG_000092400	80	47	50	42	123	107	128	156
EgrG_000092500	762	714	430	436	571	489	644	722
EgrG_000092700	0	0	0	0	0	0	0	0
EgrG_000092800	1312	1152	1012	853	807	703	1716	1676
EgrG_000092900	1080	940	1269	1189	800	710	1016	1022
EgrG_000093000	30	17	16	11	20	21	20	20
EgrG_000093200	489	398	256	237	447	438	553	543
EgrG_000093300	242	196	237	210	243	205	231	233
EgrG_000093400	63	59	52	38	73	64	106	111
EgrG_000093500	3	3	5	3	4	4	14	10
