""	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"EgrG_000462300"	1.05171724275088	7.97807663507751	15.7446710800663	0.00653304092885478	0.0286885710354058
"EgrG_000349300"	-0.62450332710688	4.2405101803646	15.7212248683563	0.00655616950214939	0.0287752416224705
"EgrG_000509900"	0.769881761327935	3.53309498751308	15.7029641320073	0.006574257625697	0.0288320105201323
"EgrG_000319900"	-0.318664384779238	5.8041571480519	15.7013087981326	0.00657590056063837	0.0288320105201323
"EgrG_000992600"	1.2237812943581	9.37395435894942	15.6965412529741	0.00658063541883608	0.0288378671970069
"EgrG_001045700"	0.70601844019134	2.44926589803833	15.6844827734733	0.00659263128681561	0.0288696733354169
"EgrG_000483700"	-0.578612226347374	5.90850513248025	15.6808256470911	0.00659627511704895	0.0288696733354169
"EgrG_000898700"	-0.773279704543692	3.67153868218051	15.6789931905781	0.00659810190916706	0.0288696733354169
"EgrG_000936700"	0.993628023339971	4.12883175409066	15.6708781390104	0.00660619989228679	0.0288902061268872
"EgrG_000079700"	-0.339050211584014	5.96901981795924	15.6671358554075	0.00660993871622328	0.0288916641259342
"EgrG_000535700"	-0.347067635529678	6.68803600177948	15.6603950890499	0.00661668028688592	0.0289062386992483
"EgrG_000782500"	0.679526681654973	6.11805599905742	15.6496320391288	0.00662746341245031	0.0289301717442311
"EgrG_000998300"	0.709279121649805	2.07941006648364	15.6481215883329	0.00662897853262437	0.0289301717442311
"EgrG_000992400"	0.512752968414199	9.78341149269936	15.6167875735069	0.00666051259767324	0.0290528477525243
"EgrG_000868900"	0.612720804111178	7.58603025046478	15.603960165454	0.00667347891270907	0.0290944476338252
"EgrG_000470400"	0.388766447942753	7.08975790511237	15.591262975315	0.00668634637043657	0.0291355740147837
"EgrG_001135200"	0.776979011688898	4.97376039082578	15.5870124550136	0.00669066119165368	0.0291394094199126
"EgrG_001017300"	0.359557769617023	6.21697137774156	15.5810710898794	0.00669669858612074	0.0291507392532829
"EgrG_000448900"	0.342432305175161	5.74951435161188	15.5732394410976	0.00670466778752196	0.0291704623124802
"EgrG_000314500"	0.943472037851988	4.43655983533598	15.5575149941023	0.00672070617986424	0.0292252543464727
"EgrG_000091000"	-0.463163558168625	5.944319325652	15.5441075741863	0.00673442123022747	0.0292625186099601
"EgrG_001041150"	-0.628163485144821	4.93631897583532	15.5423968695306	0.0067361738384314	0.0292625186099601
"EgrG_000246700"	-1.2062459450881	2.460594759485	15.5332403173689	0.00674556490280627	0.0292706435379065
"EgrG_000854100"	0.64382690638015	9.02026791851773	15.5328522355875	0.00674596330482528	0.0292706435379065
"EgrG_001044300"	1.07305433599145	8.40890982122718	15.5259403135532	0.00675306423114012	0.0292706435379065
"EgrG_000708500"	0.330319371266953	7.63350080407771	15.5251047518912	0.00675392330803868	0.0292706435379065
"EgrG_001014900"	-0.470359286585	5.71332012116518	15.5208246605634	0.00675832611261139	0.0292706435379065
"EgrG_000379200"	-0.48911988911027	5.36497364896512	15.5204178559928	0.00675874477731718	0.0292706435379065
"EgrG_000993700"	0.791472329350394	1.8104384735026	15.5079147717005	0.00677162906247868	0.0293114800847291
"EgrG_000154700"	-0.489257488849098	7.74798957544714	15.4916357260169	0.0067884529719211	0.0293693192319116
"EgrG_000964200"	0.757469162204675	6.83930786977176	15.4826331792426	0.00679778048867283	0.0293933657759572
"EgrG_000554800"	-0.318585148865822	6.60960700273557	15.479587200599	0.0068009402425983	0.0293933657759572
"EgrG_000919400"	-0.692749199804929	6.12765615967929	15.4729150571437	0.00680786837288975	0.0294083275333995
"EgrG_000098600"	-1.15395756658417	1.65554275931673	15.4660434017591	0.00681501339288513	0.029424210496304
"EgrG_000793900"	-0.707223008285973	4.90663186786176	15.4576481975912	0.0068237559854223	0.0294469714040299
"EgrG_000445600"	-0.910527538937606	9.45767415615497	15.4530852915223	0.0068285139004493	0.0294525225884148
"EgrG_000496600"	-0.54540113053216	5.92989622332283	15.4482910165216	0.00683351778272009	0.0294591284901409
