gene_id	ERR337909	ERR337922	ERR337912	ERR337925	ERR337937	ERR337949
EgrG_000080500	426	343	399	300	441	465
EgrG_000080600	1617	1306	1863	1597	2051	2134
EgrG_000080700	1077	894	814	674	1140	1170
EgrG_000080800	0	0	0	0	0	0
EgrG_000080900	2	0	0	1	0	0
EgrG_000081200	0	0	0	0	0	0
EgrG_000081300	0	0	0	0	0	0
EgrG_000082200	0	0	0	0	0	0
EgrG_000082400	0	0	0	0	0	0
EgrG_000082600	392	333	147	119	92	89
EgrG_000082700	133	99	63	57	101	86
EgrG_000082900	33	26	6	12	13	21
EgrG_000083000	43	49	19	23	54	46
EgrG_000083100	2	3	2	4	0	0
EgrG_000083200	1875	1603	1528	1297	1187	1209
EgrG_000083400	23	17	4	4	29	37
EgrG_000083500	324	278	283	278	404	427
EgrG_000083600	683	558	918	746	695	702
EgrG_000083700	3	3	0	2	2	3
EgrG_000083800	1015	804	857	712	910	926
EgrG_000083900	1430	1163	1260	1082	1320	1286
EgrG_000084000	1474	1272	929	816	1508	1563
EgrG_000084100	9	10	6	8	13	11
EgrG_000084200	16	7	9	10	12	29
EgrG_000084300	520	444	491	461	799	803
EgrG_000084400	307	242	348	284	440	450
EgrG_000084450	636	537	604	601	667	658
EgrG_000084500	4717	4110	3566	3115	5152	5373
EgrG_000084600	1387	1162	1005	873	1159	1185
EgrG_000084700	0	0	0	0	0	0
EgrG_000084800	265	208	143	136	172	164
EgrG_000084900	39	33	6	7	13	5
EgrG_000085000	3334	2806	2966	2643	2814	2907
EgrG_000085100	27	28	27	17	44	50
EgrG_000085200	554	437	742	645	538	569
EgrG_000085300	378	355	302	286	363	395
EgrG_000085400	1984	1731	854	721	815	841
EgrG_000085500	485	394	337	295	505	520
EgrG_000085600	8	4	2	3	6	7
EgrG_000085700	1616	1502	2185	1919	2405	2422
EgrG_000085800	14	11	22	27	10	6
EgrG_000085900	282	235	134	132	244	259
EgrG_000086000	522	432	587	519	1325	1417
EgrG_000086100	615	563	459	368	556	590
EgrG_000086200	1167	997	1953	1686	990	1041
EgrG_000086300	1721	1483	1900	1709	1642	1620
EgrG_000086400	958	803	723	643	1047	1025
EgrG_000086500	966	816	559	478	619	640
EgrG_000086550	109	101	139	114	217	236
EgrG_000086600	316	312	202	182	347	354
EgrG_000086700	645	562	426	339	673	686
EgrG_000086800	586	519	230	177	296	296
EgrG_000086900	403	392	216	173	289	304
EgrG_000087000	1	3	1	0	2	1
EgrG_000087100	0	0	0	0	0	0
EgrG_000087200	0	0	0	0	0	0
EgrG_000087300	60	51	77	38	81	95
EgrG_000087500	2	2	14	0	4	6
EgrG_000087600	620	541	843	769	832	845
EgrG_000087700	211	188	257	238	397	348
EgrG_000087800	1176	1077	836	673	1152	1190
EgrG_000087900	1200	1056	589	551	1513	1486
EgrG_000088000	1943	1701	1090	943	1167	1238
EgrG_000088100	401	339	287	236	512	571
EgrG_000088200	738	574	372	293	403	461
EgrG_000088300	621	531	433	401	532	532
EgrG_000088500	1082	903	1257	1128	1376	1376
EgrG_000088600	2464	2105	1328	1146	1406	1406
EgrG_000088700	2	1	1	1	0	2
EgrG_000088800	188	141	91	69	91	85
EgrG_000088900	0	0	1	0	0	0
EgrG_000089200	1584	1246	1459	1299	1228	1250
EgrG_000089300	519	515	421	323	548	567
EgrG_000089400	203	200	131	148	179	231
EgrG_000089500	127	105	72	89	202	204
EgrG_000089600	61	58	72	65	200	169
EgrG_000089700	100	81	32	18	35	33
EgrG_000089800	1382	1190	932	848	770	764
EgrG_000089900	623	458	443	396	636	588
EgrG_000090000	56	48	23	23	56	66
EgrG_000090100	877	802	371	292	615	700
EgrG_000090300	387	341	485	370	612	634
EgrG_000090400	272	222	197	162	192	244
EgrG_000090500	2910	2423	1348	1228	1785	1829
EgrG_000090600	59	57	94	78	28	36
EgrG_000090700	242	154	123	108	231	234
EgrG_000090900	21	23	17	13	27	21
EgrG_000091000	608	502	301	288	480	489
EgrG_000091200	1961	1748	3410	2991	2448	2395
EgrG_000091300	2	2	3	3	0	0
EgrG_000091400	9	9	25	18	14	22
EgrG_000091500	1282	1128	674	574	902	971
EgrG_000091600	2601	2246	2544	2321	2810	2897
EgrG_000091700	4688	3971	2529	2025	3261	3396
EgrG_000091800	5654	4872	2820	2345	3837	3934
EgrG_000092400	80	47	50	42	128	156
EgrG_000092500	762	714	430	436	644	722
EgrG_000092700	0	0	0	0	0	0
